SpeciesID,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0
PIPO01,10%,10%,10%,10%,25%,10%,10%,10%,10%,25%,10%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,10%,10%,10%,10%,10%,10%,25%
PIPO02,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,10%,25%,25%,25%,25%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIPO03,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,25%,NA,10%,25%,25%,25%,25%,25%,75%,90%,90%,90%,90%,90%,90%
PIPO04,10%,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,50%,25%,75%,75%,75%,75%,NA,75%,75%,90%,90%,75%,90%,90%,90%,X,X,X,X,X
PIPO05,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,75%,75%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO06,10%,10%,10%,10%,10%,10%,10%,25%,10%,50%,75%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO07,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,25%,25%,10%,25%,25%,25%,25%,NA,75%,75%,75%,90%,75%,90%,75%,90%,X,X,X,X,X
PIPO08,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,50%,50%,25%,50%,25%,25%,25%,NA,50%,50%,50%,50%,50%,75%,50%,75%,X,X,X,X,X
PIPO09,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,25%,10%,25%,25%,25%,10%,10%,25%,25%,25%,25%,10%
PIPO10,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,10%,10%,NA,25%,50%,50%,50%,50%,50%,50%,50%,X,X,X,X,X
PIPO11,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X
PIPO12,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,50%,50%,25%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,90%,90%,90%,X,X,X,X,X
PIPO13,75%,50%,50%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO14,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,90%,90%,X,X,X,X,X
PIPO15,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,25%,50%,75%,75%,75%,90%,90%,90%,X,X,X,X,X
PIPO16,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,50%,25%,10%,50%,90%,90%,90%,NA,75%,50%,75%,75%,75%,50%,75%,75%,X,X,X,X,X
PIPO17,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,75%,75%,75%,50%,75%,50%,75%,75%,X,X,X,X
PIPO18,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIPO19,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,50%,50%,50%,75%,50%,75%,75%,75%,X,X,X,X
PIPO20,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,25%,50%,50%,50%,50%,50%,50%,50%,X,X,X,X,X
PIPO21,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,50%,50%,50%,50%,50%,75%,75%,50%,X,X,X,X,X
PIPO22,10%,10%,10%,25%,25%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO23,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,25%,90%,90%,90%,NA,50%,50%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO24,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,10%,10%,10%,10%,25%,25%,10%,25%,25%,25%,25%,25%,25%
PIPO25,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,10%,50%,75%,75%,75%,NA,75%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO26,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO27,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO28,10%,10%,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,25%,75%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO29,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,50%,50%,50%,75%,50%,75%,75%,75%,X,X,X,X,X
PIPO30,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,50%,50%,50%,50%,50%,75%,50%,75%,X,X,X,X,X
PIPO31,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,10%,50%,50%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO32,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,25%,25%,25%,50%,50%,50%,75%,75%,75%,75%,75%,X,X
PIPO33,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,75%,75%,75%
PIPO34,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,25%,25%,50%,50%,50%,50%,75%,X,X,X,X,X
PIPO35,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIPO36,50%,50%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO37,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,25%,25%,10%,25%,25%,25%,25%,NA,75%,75%,75%,75%,75%,90%,75%,90%,X,X,X,X,X
PIPO38,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,25%,10%,25%,50%,50%,50%,NA,75%,75%,90%,90%,75%,90%,75%,90%,X,X,X,X,X
PIPO39,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,NA,25%,25%,50%,75%,50%,50%,50%,75%,50%,X,X,X,X
PIPO40,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,50%,25%,50%,75%,75%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO41,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,10%,10%,10%,10%,25%,10%,10%,10%,25%,10%,25%,25%,25%
PIPO42,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,50%,35%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO43,10%,10%,10%,25%,25%,25%,25%,50%,50%,50%,50%,75%,25%,50%,75%,75%,75%,NA,75%,75%,75%,75%,75%,75%,75%,90%,75%,X,X,X,X
PIPO44,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,25%,25%,50%,50%,50%,50%,50%,75%,50%,X,X,X,X
PIPO45,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%,25%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO46,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,10%,25%,25%,10%,10%,NA,25%,25%,50%,50%,50%,50%,50%,75%,75%,75%,90%,X,X
PIPO47,10%,10%,10%,10%,10%,25%,10%,25%,25%,50%,50%,50%,25%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,50%,75%,X,X,X,X,X
PIPO48,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,10%,25%,25%,10%,25%,25%,25%,25%
PIPO49,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,25%,25%,25%,25%,25%,50%,50%,50%,75%,X,X
PIPO50,10%,25%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,10%,25%,10%,10%,10%,NA,50%,50%,50%,75%,75%,90%,90%,75%,X,X,X,X,X
