Species,Treatment_temp,Dead_Week,SpeciesID
PIED,Ambient,10,PIED11
PIED,Ambient,12,PIED12
PIED,Ambient,12,PIED41
PIED,Ambient,12.5,PIED18
PIED,Ambient,13,PIED29
PIED,Ambient,13.5,PIED34
PIED,Ambient,14,PIED28
PIED,Ambient,14,PIED38
PIED,Ambient,15,PIED02
PIED,Ambient,15,PIED03
PIED,Ambient,15,PIED32
PIED,Ambient,15,PIED39
PIED,Ambient,15,PIED46
PIED,Ambient,15.5,PIED44
PIED,Ambient,16,PIED05
PIED,Ambient,17,PIED49
PIED,Ambient,17.5,PIED07
PIED,Ambient,17.5,PIED19
PIED,Ambient,18.5,PIED40
PIED,Ambient_HW,12,PIED04
PIED,Ambient_HW,12,PIED13
PIED,Ambient_HW,12,PIED43
PIED,Ambient_HW,12,PIED45
PIED,Ambient_HW,12,PIED48
PIED,Ambient_HW,12.5,PIED16
PIED,Ambient_HW,12.5,PIED35
PIED,Ambient_HW,12.5,PIED47
PIED,Ambient_HW,13.5,PIED09
PIED,Ambient_HW,13.5,PIED30
PIED,Ambient_HW,14,PIED37
PIED,Ambient_HW,14.5,PIED14
PIED,Ambient_HW,14.5,PIED26
PIED,Ambient_HW,14.5,PIED33
PIED,Ambient_HW,15,PIED25
PIED,Ambient_HW,15,PIED27
PIED,Ambient_HW,15.5,PIED06
PIED,Ambient_HW,16.5,PIED23
PIED,Ambient_HW,16.5,PIED31
PIED,Ambient_HW,20,PIED21
PIEN,Ambient,17.5,PIEN35
PIEN,Ambient,17.5,PIEN40
PIEN,Ambient,17.5,PIEN44
PIEN,Ambient,18,PIEN36
PIEN,Ambient,18,PIEN43
PIEN,Ambient,18,PIEN45
PIEN,Ambient,18,PIEN46
PIEN,Ambient,18,PIEN48
PIEN,Ambient,18.5,PIEN34
PIEN,Ambient,18.5,PIEN47
PIEN,Ambient,19,PIEN33
PIEN,Ambient,19,PIEN41
PIEN,Ambient,20,PIEN31
PIEN,Ambient,20,PIEN32
PIEN,Ambient,20,PIEN42
PIEN,Ambient,20.5,PIEN39
PIEN,Ambient,21,PIEN37
PIEN,Ambient,21,PIEN38
PIEN,Ambient,21.5,PIEN50
PIEN,Ambient,22.5,PIEN49
PIEN,Ambient_HW,17.5,PIEN09
PIEN,Ambient_HW,17.5,PIEN17
PIEN,Ambient_HW,17.5,PIEN19
PIEN,Ambient_HW,17.5,PIEN21
PIEN,Ambient_HW,18,PIEN06
PIEN,Ambient_HW,18,PIEN14
PIEN,Ambient_HW,18,PIEN22
PIEN,Ambient_HW,18.5,PIEN24
PIEN,Ambient_HW,19,PIEN12
PIEN,Ambient_HW,19,PIEN25
PIEN,Ambient_HW,19.5,PIEN07
PIEN,Ambient_HW,19.5,PIEN08
PIEN,Ambient_HW,19.5,PIEN10
PIEN,Ambient_HW,19.5,PIEN15
PIEN,Ambient_HW,19.5,PIEN16
PIEN,Ambient_HW,20,PIEN11
PIEN,Ambient_HW,20,PIEN18
PIEN,Ambient_HW,20,PIEN20
PIEN,Ambient_HW,20,PIEN23
PIEN,Ambient_HW,20.5,PIEN13
PIFL,Ambient,25.5,PIFL33
PIFL,Ambient,25.5,PIFL50
PIFL,Ambient,28,PIFL32
PIFL,Ambient,28,PIFL35
PIFL,Ambient,29,PIFL36
PIFL,Ambient,29,PIFL49
PIFL,Ambient,29.5,PIFL47
PIFL,Ambient,30,PIFL38
PIFL,Ambient,30.5,PIFL44
PIFL,Ambient,30.5,PIFL45
PIFL,Ambient,31,PIFL31
PIFL,Ambient,31,PIFL41
PIFL,Ambient,31,PIFL43
PIFL,Ambient,31,PIFL46
PIFL,Ambient,31.5,PIFL34
PIFL,Ambient,31.5,PIFL48
PIFL,Ambient,32,PIFL42
PIFL,Ambient,33,PIFL40
PIFL,Ambient,33.5,PIFL37
PIFL,Ambient,35,PIFL39
PIFL,Ambient_HW,8,PIFL16
PIFL,Ambient_HW,25.5,PIFL19
PIFL,Ambient_HW,27,PIFL08
PIFL,Ambient_HW,27,PIFL11
PIFL,Ambient_HW,27,PIFL14
PIFL,Ambient_HW,27,PIFL15
PIFL,Ambient_HW,27,PIFL17
PIFL,Ambient_HW,27,PIFL24
PIFL,Ambient_HW,27.5,PIFL22
PIFL,Ambient_HW,27.5,PIFL23
PIFL,Ambient_HW,28,PIFL10
PIFL,Ambient_HW,28.5,PIFL12
PIFL,Ambient_HW,29,PIFL13
PIFL,Ambient_HW,29.5,PIFL09
PIFL,Ambient_HW,29.5,PIFL25
PIFL,Ambient_HW,30,PIFL21
PIFL,Ambient_HW,30.5,PIFL07
PIFL,Ambient_HW,30.5,PIFL18
PIFL,Ambient_HW,32,PIFL06
PIFL,Ambient_HW,34,PIFL20
PIPO,Ambient,5,PIPO22
PIPO,Ambient,10,PIPO04
PIPO,Ambient,10,PIPO05
PIPO,Ambient,10,PIPO07
PIPO,Ambient,10,PIPO26
PIPO,Ambient,10,PIPO28
PIPO,Ambient,10,PIPO37
PIPO,Ambient,10,PIPO38
PIPO,Ambient,10,PIPO45
PIPO,Ambient,10.5,PIPO12
PIPO,Ambient,10.5,PIPO47
PIPO,Ambient,11,PIPO14
PIPO,Ambient,11.5,PIPO17
PIPO,Ambient,12,PIPO11
PIPO,Ambient,12,PIPO39
PIPO,Ambient,12,PIPO43
PIPO,Ambient,12,PIPO44
PIPO,Ambient,12.5,PIPO32
PIPO,Ambient,12.5,PIPO46
PIPO,Ambient,13,PIPO49
PIPO,Ambient_HW,3.5,PIPO36
PIPO,Ambient_HW,4.5,PIPO13
PIPO,Ambient_HW,6.5,PIPO06
PIPO,Ambient_HW,10,PIPO08
PIPO,Ambient_HW,10,PIPO10
PIPO,Ambient_HW,10,PIPO16
PIPO,Ambient_HW,10,PIPO21
PIPO,Ambient_HW,10,PIPO23
PIPO,Ambient_HW,10,PIPO25
PIPO,Ambient_HW,10,PIPO27
PIPO,Ambient_HW,10,PIPO30
PIPO,Ambient_HW,10,PIPO40
PIPO,Ambient_HW,10,PIPO42
PIPO,Ambient_HW,10,PIPO50
PIPO,Ambient_HW,10.5,PIPO29
PIPO,Ambient_HW,11,PIPO20
PIPO,Ambient_HW,11,PIPO31
PIPO,Ambient_HW,11,PIPO34
PIPO,Ambient_HW,12,PIPO19
PIPO,Ambient_HW,13.5,PIPO33
PSME,Ambient,15,PSME32
PSME,Ambient,15,PSME49
PSME,Ambient,16.5,PSME47
PSME,Ambient,17.5,PSME33
PSME,Ambient,17.5,PSME37
PSME,Ambient,18.5,PSME34
PSME,Ambient,18.5,PSME41
PSME,Ambient,18.5,PSME45
PSME,Ambient,19.5,PSME38
PSME,Ambient,19.5,PSME50
PSME,Ambient,20.5,PSME35
PSME,Ambient,20.5,PSME40
PSME,Ambient,20.5,PSME42
PSME,Ambient,21,PSME31
PSME,Ambient,21,PSME39
PSME,Ambient,21,PSME46
PSME,Ambient,21,PSME48
PSME,Ambient,21.5,PSME36
PSME,Ambient,23,PSME43
PSME,Ambient,23,PSME44
PSME,Ambient_HW,14.5,PSME07
PSME,Ambient_HW,15,PSME08
PSME,Ambient_HW,15,PSME09
PSME,Ambient_HW,15,PSME12
PSME,Ambient_HW,15,PSME18
PSME,Ambient_HW,15,PSME21
PSME,Ambient_HW,15,PSME22
PSME,Ambient_HW,15.5,PSME19
PSME,Ambient_HW,17,PSME13
PSME,Ambient_HW,17,PSME15
PSME,Ambient_HW,17.5,PSME10
PSME,Ambient_HW,18.5,PSME06
PSME,Ambient_HW,18.5,PSME17
PSME,Ambient_HW,18.5,PSME20
PSME,Ambient_HW,18.5,PSME24
PSME,Ambient_HW,19.5,PSME11
PSME,Ambient_HW,20.5,PSME16
PSME,Ambient_HW,21,PSME14
PSME,Ambient_HW,21,PSME25
PSME,Ambient_HW,21.5,PSME23
