Phase,Chamber,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Comments
1,1,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,
1,1,PIED,PIED02,Ambient,Drought,no,6.04,268,5,
1,1,PIED,PIED03,Ambient,Drought,yes,4.32,238,3,
1,1,PIED,PIED04,Ambient_HW,Drought,yes,6.33,262,4,
1,1,PIED,PIED05,Ambient,Drought,no,4.03,181,4,
1,1,PIED,PIED06,Ambient_HW,Drought,yes,6.07,289,5,
1,1,PIED,PIED07,Ambient,Drought,yes,4.27,248,4,
1,1,PIED,PIED08,Ambient,Watered,no,7.54,205,3,
1,1,PIED,PIED09,Ambient_HW,Drought,no,4.73,194,5,
1,1,PIED,PIED10,Ambient_HW,Watered,yes,6.95,346,6,
1,1,PIED,PIED11,Ambient,Drought,no,5.53,121,4,
1,1,PIED,PIED12,Ambient,Drought,yes,5.07,318,4,
1,1,PIED,PIED13,Ambient_HW,Drought,yes,5.35,299,4,
1,1,PIED,PIED14,Ambient_HW,Drought,no,5.29,250,4,
1,1,PIED,PIED15,Ambient_HW,Watered,yes,5.58,276,3,
1,1,PIED,PIED16,Ambient_HW,Drought,yes,4.21,260,4,
1,1,PIED,PIED17,Ambient_HW,Watered,yes,7.04,326,4,
1,1,PIED,PIED18,Ambient,Drought,no,7.86,400,6,
1,1,PIED,PIED19,Ambient,Drought,no,9.61,380,4,
1,1,PIED,PIED20,Ambient_HW,Watered,no,8.63,334,4,
1,1,PIED,PIED21,Ambient_HW,Drought,no,6.45,333,4,
1,1,PIED,PIED22,Ambient,Watered,yes,8.27,345,4,
1,1,PIED,PIED23,Ambient_HW,Drought,yes,5.62,257,5,
1,1,PIED,PIED24,Ambient_HW,Watered,no,7.63,305,4,
1,1,PIED,PIED25,Ambient_HW,Drought,no,6.19,305,5,
1,1,PIED,PIED26,Ambient_HW,Drought,no,6.69,378,5,
1,1,PIED,PIED27,Ambient_HW,Drought,no,5.09,253,4,
1,1,PIED,PIED28,Ambient,Drought,yes,6.74,325,4,
1,1,PIED,PIED29,Ambient,Drought,no,5.90,342,5,
1,1,PIED,PIED30,Ambient_HW,Drought,yes,4.95,196,4,
1,1,PIED,PIED31,Ambient_HW,Drought,yes,5.88,300,5,
1,1,PIED,PIED32,Ambient,Drought,yes,4.54,237,5,
1,1,PIED,PIED33,Ambient_HW,Drought,yes,6.24,423,4,
1,1,PIED,PIED34,Ambient,Drought,yes,5.04,339,5,
1,1,PIED,PIED35,Ambient_HW,Drought,yes,5.60,267,5,
1,1,PIED,PIED36,Ambient,Watered,yes,6.66,265,4,
1,1,PIED,PIED37,Ambient_HW,Drought,no,9.41,415,5,
1,1,PIED,PIED38,Ambient,Drought,yes,4.59,235,4,
1,1,PIED,PIED39,Ambient,Drought,yes,3.99,132,4,
1,1,PIED,PIED40,Ambient,Drought,no,6.77,393,6,
1,1,PIED,PIED41,Ambient,Drought,no,3.16,93,3,
1,1,PIED,PIED42,Ambient,Watered,no,10.29,485,5,
1,1,PIED,PIED43,Ambient_HW,Drought,yes,5.14,302,4,
1,1,PIED,PIED44,Ambient,Drought,no,7.08,435,5,
1,1,PIED,PIED45,Ambient_HW,Drought,no,4.22,119,4,
1,1,PIED,PIED46,Ambient,Drought,yes,4.16,202,3,
1,1,PIED,PIED47,Ambient_HW,Drought,no,6.80,460,4,
1,1,PIED,PIED48,Ambient_HW,Drought,no,6.21,310,5,
1,1,PIED,PIED49,Ambient,Drought,yes,7.73,458,6,
1,3,PIEN,PIEN01,Ambient_HW,Watered,no,6.31,292,4,
1,3,PIEN,PIEN02,Ambient_HW,Watered,no,5.47,200,4,
1,3,PIEN,PIEN03,Ambient_HW,Watered,yes,6.80,260,4,
1,3,PIEN,PIEN04,Ambient_HW,Watered,yes,6.50,335,5,
1,3,PIEN,PIEN05,Ambient_HW,Watered,yes,7.35,290,3,
1,3,PIEN,PIEN06,Ambient_HW,Drought,yes,5.50,225,4,
1,3,PIEN,PIEN07,Ambient_HW,Drought,yes,8.80,284,3,
1,3,PIEN,PIEN08,Ambient_HW,Drought,yes,7.11,285,5,
1,3,PIEN,PIEN09,Ambient_HW,Drought,yes,5.63,270,4,
1,3,PIEN,PIEN10,Ambient_HW,Drought,yes,6.19,310,5,
1,3,PIEN,PIEN11,Ambient_HW,Drought,yes,5.59,293,4,
1,3,PIEN,PIEN12,Ambient_HW,Drought,yes,5.82,303,4,
1,3,PIEN,PIEN13,Ambient_HW,Drought,yes,5.63,270,4,
1,3,PIEN,PIEN14,Ambient_HW,Drought,yes,7.33,322,4,
1,3,PIEN,PIEN15,Ambient_HW,Drought,yes,8.57,337,5,
1,3,PIEN,PIEN16,Ambient_HW,Drought,no,5.19,305,5,
1,3,PIEN,PIEN17,Ambient_HW,Drought,no,4.91,266,5,
1,3,PIEN,PIEN18,Ambient_HW,Drought,no,6.22,300,4,
1,3,PIEN,PIEN19,Ambient_HW,Drought,no,5.99,295,4,
1,3,PIEN,PIEN20,Ambient_HW,Drought,no,6.44,260,5,
1,3,PIEN,PIEN21,Ambient_HW,Drought,no,6.00,319,5,
1,3,PIEN,PIEN22,Ambient_HW,Drought,no,4.57,239,4,
1,3,PIEN,PIEN23,Ambient_HW,Drought,no,5.58,234,4,
1,3,PIEN,PIEN24,Ambient_HW,Drought,no,5.73,264,5,
1,3,PIEN,PIEN25,Ambient_HW,Drought,no,5.17,269,4,
1,3,PIEN,PIEN26,Ambient,Watered,no,6.28,167,4,
1,3,PIEN,PIEN27,Ambient,Watered,no,6.82,261,3,
1,3,PIEN,PIEN28,Ambient,Watered,yes,6.24,310,4,
1,3,PIEN,PIEN29,Ambient,Watered,yes,7.28,308,5,
1,3,PIEN,PIEN30,Ambient,Watered,yes,4.76,219,3,
1,3,PIEN,PIEN31,Ambient,Drought,yes,5.32,301,3,
1,3,PIEN,PIEN32,Ambient,Drought,yes,4.87,267,4,
1,3,PIEN,PIEN33,Ambient,Drought,yes,5.89,250,3,
1,3,PIEN,PIEN34,Ambient,Drought,yes,5.38,273,3,
1,3,PIEN,PIEN35,Ambient,Drought,yes,4.62,258,3,
1,3,PIEN,PIEN36,Ambient,Drought,yes,4.99,274,4,
1,3,PIEN,PIEN37,Ambient,Drought,yes,5.77,280,4,
1,3,PIEN,PIEN38,Ambient,Drought,yes,4.70,203,3,
1,3,PIEN,PIEN39,Ambient,Drought,yes,6.14,288,3,
1,3,PIEN,PIEN40,Ambient,Drought,yes,7.36,258,3,
1,3,PIEN,PIEN41,Ambient,Drought,no,5.87,286,4,
1,3,PIEN,PIEN42,Ambient,Drought,no,4.73,248,3,
1,3,PIEN,PIEN43,Ambient,Drought,no,5.71,249,3,
1,3,PIEN,PIEN44,Ambient,Drought,no,6.49,209,3,
1,3,PIEN,PIEN45,Ambient,Drought,no,4.36,215,3,
1,3,PIEN,PIEN46,Ambient,Drought,no,6.34,282,4,
1,3,PIEN,PIEN47,Ambient,Drought,no,7.04,224,3,
1,3,PIEN,PIEN48,Ambient,Drought,no,4.34,257,3,
1,3,PIEN,PIEN49,Ambient,Drought,no,4.25,169,3,
1,3,PIEN,PIEN50,Ambient,Drought,no,4.59,208,3,
1,2,PIFL,PIFL01,Ambient_HW,Watered,no,6.76,155,4,
1,2,PIFL,PIFL02,Ambient_HW,Watered,no,4.38,121,3,
1,2,PIFL,PIFL03,Ambient_HW,Watered,yes,5.71,100,3,
1,2,PIFL,PIFL04,Ambient_HW,Watered,yes,7.12,93,4,
1,2,PIFL,PIFL05,Ambient_HW,Watered,yes,4.28,128,4,
1,2,PIFL,PIFL06,Ambient_HW,Drought,yes,4.90,95,3,
1,2,PIFL,PIFL07,Ambient_HW,Drought,yes,8.00,140,4,
1,2,PIFL,PIFL08,Ambient_HW,Drought,yes,9.44,89,3,
1,2,PIFL,PIFL09,Ambient_HW,Drought,yes,5.33,120,4,
1,2,PIFL,PIFL10,Ambient_HW,Drought,yes,4.88,100,4,
1,2,PIFL,PIFL11,Ambient_HW,Drought,yes,6.94,134,4,
1,2,PIFL,PIFL12,Ambient_HW,Drought,yes,5.58,127,4,
1,2,PIFL,PIFL13,Ambient_HW,Drought,yes,5.41,107,3,
1,2,PIFL,PIFL14,Ambient_HW,Drought,yes,6.57,140,4,
1,2,PIFL,PIFL15,Ambient_HW,Drought,yes,5.17,87,4,
1,2,PIFL,PIFL16,Ambient_HW,Drought,no,5.66,120,3,
1,2,PIFL,PIFL17,Ambient_HW,Drought,no,6.08,99,4,
1,2,PIFL,PIFL18,Ambient_HW,Drought,no,5.62,162,5,
1,2,PIFL,PIFL19,Ambient_HW,Drought,no,4.17,91,3,
1,2,PIFL,PIFL20,Ambient_HW,Drought,no,6.09,81,3,
1,2,PIFL,PIFL21,Ambient_HW,Drought,no,5.51,86,3,
1,2,PIFL,PIFL22,Ambient_HW,Drought,no,4.50,89,3,
1,2,PIFL,PIFL23,Ambient_HW,Drought,no,6.33,125,5,
1,2,PIFL,PIFL24,Ambient_HW,Drought,no,5.87,105,4,
1,2,PIFL,PIFL25,Ambient_HW,Drought,no,4.60,168,5,
1,2,PIFL,PIFL26,Ambient,Watered,no,6.82,112,3,
1,2,PIFL,PIFL27,Ambient,Watered,no,5.54,150,6,
1,2,PIFL,PIFL28,Ambient,Watered,yes,5.27,170,5,
1,2,PIFL,PIFL29,Ambient,Watered,yes,4.08,129,4,
1,2,PIFL,PIFL30,Ambient,Watered,yes,6.31,128,4,
1,2,PIFL,PIFL31,Ambient,Drought,yes,6.57,197,6,
1,2,PIFL,PIFL32,Ambient,Drought,yes,6.27,182,7,
1,2,PIFL,PIFL33,Ambient,Drought,yes,6.49,157,5,
1,2,PIFL,PIFL34,Ambient,Drought,yes,4.39,144,6,
1,2,PIFL,PIFL35,Ambient,Drought,yes,6.70,142,6,
1,2,PIFL,PIFL36,Ambient,Drought,yes,4.64,169,5,
1,2,PIFL,PIFL37,Ambient,Drought,yes,6.53,99,5,
1,2,PIFL,PIFL38,Ambient,Drought,yes,6.03,184,6,
1,2,PIFL,PIFL39,Ambient,Drought,yes,5.73,149,4,
1,2,PIFL,PIFL40,Ambient,Drought,yes,6.14,178,5,
1,2,PIFL,PIFL41,Ambient,Drought,no,5.14,188,6,
1,2,PIFL,PIFL42,Ambient,Drought,no,7.31,170,5,
1,2,PIFL,PIFL43,Ambient,Drought,no,6.61,177,4,
1,2,PIFL,PIFL44,Ambient,Drought,no,6.21,154,5,
1,2,PIFL,PIFL45,Ambient,Drought,no,5.61,146,3,
1,2,PIFL,PIFL46,Ambient,Drought,no,6.59,223,4,
1,2,PIFL,PIFL47,Ambient,Drought,no,5.77,90,3,
1,2,PIFL,PIFL48,Ambient,Drought,no,5.49,194,4,
1,2,PIFL,PIFL49,Ambient,Drought,no,3.87,176,4,
1,2,PIFL,PIFL50,Ambient,Drought,no,6.01,107,4,
1,1,PIPO,PIPO01,Ambient,Watered,yes,7.49,276,5,
1,1,PIPO,PIPO02,Ambient_HW,Drought,yes,7.02,248,6,wounded
1,1,PIPO,PIPO03,Ambient,Drought,no,5.38,143,3,
1,1,PIPO,PIPO04,Ambient,Drought,yes,10.50,333,5,
1,1,PIPO,PIPO05,Ambient,Watered,yes,5.09,141,5,
1,1,PIPO,PIPO06,Ambient_HW,Drought,no,4.57,99,4,
1,1,PIPO,PIPO07,Ambient_HW,Drought,no,7.65,237,6,
1,1,PIPO,PIPO08,Ambient,Drought,yes,7.59,189,4,
1,1,PIPO,PIPO09,Ambient_HW,Drought,no,6.42,134,5,
1,1,PIPO,PIPO10,Ambient_HW,Drought,yes,8.60,259,5,
1,1,PIPO,PIPO11,Ambient_HW,Watered,no,7.28,205,6,
1,1,PIPO,PIPO12,Ambient_HW,Drought,no,8.12,192,4,
1,1,PIPO,PIPO13,Ambient,Drought,no,4.04,111,4,
1,1,PIPO,PIPO14,Ambient,Drought,yes,6.17,218,5,
1,1,PIPO,PIPO15,Ambient,Watered,yes,4.29,90,4,
1,1,PIPO,PIPO16,Ambient_HW,Drought,yes,6.22,171,5,
1,1,PIPO,PIPO17,Ambient,Watered,no,7.01,163,6,
1,1,PIPO,PIPO18,Ambient,Drought,yes,4.55,85,4,
1,1,PIPO,PIPO19,Ambient,Drought,yes,6.82,164,5,
1,1,PIPO,PIPO20,Ambient,Drought,no,5.62,125,6,
1,1,PIPO,PIPO21,Ambient,Drought,yes,9.07,232,4,
1,1,PIPO,PIPO22,Ambient_HW,Drought,yes,4.08,101,3,
1,1,PIPO,PIPO23,Ambient_HW,Drought,no,8.06,200,5,
1,1,PIPO,PIPO24,Ambient_HW,Drought,yes,9.71,240,4,
1,1,PIPO,PIPO25,Ambient_HW,Drought,no,4.92,105,3,
1,1,PIPO,PIPO26,Ambient,Watered,no,8.11,220,5,
1,1,PIPO,PIPO27,Ambient_HW,Watered,no,8.26,208,5,
1,1,PIPO,PIPO28,Ambient,Drought,yes,7.87,302,6,
1,1,PIPO,PIPO29,Ambient_HW,Drought,yes,8.20,247,6,
1,1,PIPO,PIPO30,Ambient,Drought,no,8.38,199,5,
1,1,PIPO,PIPO31,Ambient,Drought,no,6.49,180,5,
1,1,PIPO,PIPO32,Ambient_HW,Drought,no,5.40,111,3,
1,1,PIPO,PIPO33,Ambient_HW,Drought,yes,4.87,128,5,
1,1,PIPO,PIPO34,Ambient,Drought,no,6.05,127,4,
1,1,PIPO,PIPO35,Ambient_HW,Drought,no,7.07,212,6,
1,1,PIPO,PIPO36,Ambient,Drought,yes,6.10,202,5,
1,1,PIPO,PIPO37,Ambient_HW,Watered,yes,5.63,218,5,
1,1,PIPO,PIPO38,Ambient,Drought,no,9.35,265,4,
1,1,PIPO,PIPO39,Ambient_HW,Drought,yes,7.06,199,4,
1,1,PIPO,PIPO40,Ambient_HW,Drought,no,7.78,286,6,
1,1,PIPO,PIPO41,Ambient_HW,Drought,yes,6.03,191,5,
1,1,PIPO,PIPO42,Ambient,Drought,yes,7.39,324,5,
1,1,PIPO,PIPO43,Ambient_HW,Drought,no,7.46,180,4,
1,1,PIPO,PIPO44,Ambient,Drought,yes,7.08,164,5,
1,1,PIPO,PIPO45,Ambient_HW,Drought,yes,8.08,256,6,
1,1,PIPO,PIPO46,Ambient,Drought,no,6.70,217,5,
1,1,PIPO,PIPO47,Ambient,Drought,no,8.73,190,4,
1,1,PIPO,PIPO48,Ambient_HW,Watered,yes,8.52,304,5,
1,1,PIPO,PIPO49,Ambient_HW,Watered,yes,6.08,165,4,
1,1,PIPO,PIPO50,Ambient,Drought,no,6.95,190,4,
1,2,PSME,PSME01,Ambient_HW,Watered,no,6.60,313,4,
1,2,PSME,PSME02,Ambient_HW,Watered,no,6.87,387,4,
1,2,PSME,PSME03,Ambient_HW,Watered,yes,7.66,402,4,
1,2,PSME,PSME04,Ambient_HW,Watered,yes,5.89,418,5,
1,2,PSME,PSME05,Ambient_HW,Watered,yes,7.72,385,4,
1,2,PSME,PSME06,Ambient_HW,Drought,yes,7.15,451,4,
1,2,PSME,PSME07,Ambient_HW,Drought,yes,6.79,390,5,
1,2,PSME,PSME08,Ambient_HW,Drought,yes,6.23,394,5,
1,2,PSME,PSME09,Ambient_HW,Drought,yes,7.46,440,7,
1,2,PSME,PSME10,Ambient_HW,Drought,yes,7.13,480,3,
1,2,PSME,PSME11,Ambient_HW,Drought,yes,5.30,422,4,
1,2,PSME,PSME12,Ambient_HW,Drought,yes,5.52,418,4,
1,2,PSME,PSME13,Ambient_HW,Drought,yes,6.58,417,4,
1,2,PSME,PSME14,Ambient_HW,Drought,yes,5.18,261,3,
1,2,PSME,PSME15,Ambient_HW,Drought,yes,5.24,420,4,
1,2,PSME,PSME16,Ambient_HW,Drought,no,5.55,378,4,
1,2,PSME,PSME17,Ambient_HW,Drought,no,7.32,390,4,
1,2,PSME,PSME18,Ambient_HW,Drought,no,6.78,451,6,
1,2,PSME,PSME19,Ambient_HW,Drought,no,5.86,478,4,
1,2,PSME,PSME20,Ambient_HW,Drought,no,5.74,482,6,
1,2,PSME,PSME21,Ambient_HW,Drought,no,5.94,427,5,
1,2,PSME,PSME22,Ambient_HW,Drought,no,6.39,395,5,
1,2,PSME,PSME23,Ambient_HW,Drought,no,4.22,284,3,
1,2,PSME,PSME24,Ambient_HW,Drought,no,7.03,420,4,
1,2,PSME,PSME25,Ambient_HW,Drought,no,5.48,221,3,
1,2,PSME,PSME26,Ambient,Watered,no,6.85,347,3,
1,2,PSME,PSME27,Ambient,Watered,no,7.04,350,4,
1,2,PSME,PSME28,Ambient,Watered,yes,7.44,467,5,
1,2,PSME,PSME29,Ambient,Watered,yes,6.87,402,3,
1,2,PSME,PSME30,Ambient,Watered,yes,7.28,457,4,
1,2,PSME,PSME31,Ambient,Drought,yes,5.17,314,3,
1,2,PSME,PSME32,Ambient,Drought,yes,5.44,412,4,
1,2,PSME,PSME33,Ambient,Drought,yes,5.48,395,4,
1,2,PSME,PSME34,Ambient,Drought,yes,6.32,403,4,
1,2,PSME,PSME35,Ambient,Drought,yes,5.89,390,4,
1,2,PSME,PSME36,Ambient,Drought,yes,6.86,370,3,
1,2,PSME,PSME37,Ambient,Drought,yes,5.43,435,7,
1,2,PSME,PSME38,Ambient,Drought,yes,6.28,380,3,
1,2,PSME,PSME39,Ambient,Drought,yes,6.33,354,3,
1,2,PSME,PSME40,Ambient,Drought,yes,5.63,350,3,
1,2,PSME,PSME41,Ambient,Drought,no,5.82,470,4,
1,2,PSME,PSME42,Ambient,Drought,no,6.67,374,4,
1,2,PSME,PSME43,Ambient,Drought,no,5.28,366,3,
1,2,PSME,PSME44,Ambient,Drought,no,5.87,324,3,
1,2,PSME,PSME45,Ambient,Drought,no,5.74,447,4,
1,2,PSME,PSME46,Ambient,Drought,no,5.11,282,3,
1,2,PSME,PSME47,Ambient,Drought,no,6.74,434,5,
1,2,PSME,PSME48,Ambient,Drought,no,5.64,432,4,
1,2,PSME,PSME49,Ambient,Drought,no,5.37,444,4,
1,2,PSME,PSME50,Ambient,Drought,no,6.40,387,4,
